Domain,English,Manglish
"Education","course","paadyakramam/sreni"
"Education","post graduate","birudaandara birudam"
"Education","graduation","birudam"
"Education","graduate","birudadaari"
"Education","college","kalaalayam"
"Education","university","sarvakalaasaala"
"Education","teacher","adyaapika/adyaapakan"
"Education","friends","snehithar/ suhruthukkal"
"Education","eligibility","yogyatha"
"Education","term","kaalaavadhi"
"Education","branch","shaakha"
"Education","mistakes","thettukal"
"Education","exam","pareeksha"
"Education","qualification","yogyatha/ arhatha"
"Education","document transalation","pramaanam vivarthanam cheyyuka"
"Education","excellent","mikachath"
"Education","appreciate","abinandikkuka"
"Education","satisfied","samthripthanakuka"
"Education","tour","sanchaaram"
"Education","lake","thadaakam"
"Education","lessons","paadam"
"Education","Music classes","sangeetha paadangal"
"Education","instruments","upakaranangal"
"Education","swimming classes","neenthal classukal"
"Education","background","pashchaathalam"
"Education","positions","sthaanam"
"Education","memmory","orma"
"Education","thinking capacity","chinthaa sheshi"
"Education","request","apeksha/ abyarthana"
"Education","knowledge","arivu"
"Education","summary","saaraamsam/ samgraham"
"Education","scheme","padhathi"
"Education","scholarship","paandithyathinaayi labikkunna vethanam"
"Education","profit","laabham"
"Education","pass","jayikkuka"
"Education","continue","thudaruka"
"Education","undergraduate","sarva kalaasaala birudam nediyittillatha vidyaarthi"
"Education","contribute","sambaavana cheyyuka"
"Education","attendance","haajarath"
"Education","certificate","sanad/ praamaana pathram"
"Education","enrolment","pravesanam"
"Education","assignment","niyoga pathram"
"Education","tuition fee","paadana shulkam"
"Education","campus","vidyaalaya praangkanam"
"Education","semester","ardha vaarshikam"
"Education","principal","pradhaana adyaapakan"
"Education","lecture","pravachanam"
"Education","library","granthashaala"
"Education","thesis","pradhaana prabandham"
"Education","internship","parisheelanam"
"Education","curriculum","paadya padhathi"
"Education","fees","shulkam"
"Education","deadline","avasaana theeyathi"
"Education","research paper","gaveshana pathram"
"Education","student loan","vidyaarthi vaayppa"
"Education","results","phalam"
"Education","subject","vishayam"
"Education","grade","greddu/ tharam"
"Housing","Community cente","saamoohika kendram"
"Housing","Poeple","janangal"
"Housing","Group","samooham"
"Housing","Team","sangam"
"Housing","Family members","kudumbaangangal"
"Housing","Housing","paarppidam"
"Housing","Resident","sthala vaasi"
"Housing","residence","sthiravaasam/griham"
"Housing","rent","vaadaka"
"Housing","tenant","vaadakakkaar"
"Housing","cheque","dhana vinimaya cheett"
"Housing","savings account","sambadya account"
"Housing","bank loan","bank vaayppa"
"Housing","rental agreement","vaadaka karaar"
"Housing","housing department","bhavana vakupp"
"Housing","mortgage","panayappeduthuka"
"Housing","instalment","thavanakal"
"Housing","monthly plan","prathimaasa padhathi"
"Housing","yearly plan","vaarshika padhathi"
"Housing","planning","aasoothranam"
"Housing","policy","nayam"
"Housing","reference number","soochana sankya"
"Housing","house owner","veettudamasthan"
"Housing","landlords","boovudamakal/ janmi"
"Housing","purchase","vaangal"
"Housing","shopping mall","vilpana kendram"
"Housing","train station","theevandi kathirippu kendram"
"Housing","working hours","joli samayam/pravarthana samayam"
"Housing","public transport","pothu gathaagatham"
"Housing","sale deed","vilpana karaar"
"Housing","fence","veli"
"Housing","backyard","pinmuttam"
"Housing","frontyard","munmuttam"
"Housing","balcony","nilamuttam"
"Housing","footpath/road","nadavazhi/ nadappatha"
"Housing","loan","vaayppa"
"Housing","lawn","pulthakidi"
"Housing","grass cutting","pullu vettuka"
"Housing","equal instalment","thulya thavana"
"Housing","payment","panam adaykkal/ kodukkal"
"Housing","gross income","aake varumanam"
"Housing","assets","aasthi"
"Housing","property","swath/vasthu"
"Housing","property tax","vasthu nikuthi"
"Housing","neighbors","ayalvaasikal"
"Housing","neighborhood","ayalpakkam"
"Housing","youngsters","yuvaakkal/ cheruppakkar"
"Housing","seniors","muthirnnavar"
"Housing","parents","maathapithakkal"
"Housing","learning","padanam"
"Housing","apartment","bavanam"
"Housing","expensive","vila koodiyath"
"Housing","cheap","vila kuranjath"
"Housing","collection","shekharam/ samaaharam"
"Housing","earning","sambadyam"
"Housing","qualified","yogyatha ulla"
"Housing","reliable","viswasaneeyamaaya"
"Housing","city","nagaram/pattanam"
"Housing","seller","vilpanakkaran"
"Housing","buyer","vangunnayaal"
"Housing","amenities","soukaryangal"
"Housing","comfortabale","sukhakaramaaya"
"Housing","convenient","soukryapradamaaya"
"Housing","privacy","swakaaryatha"
"Housing","previous","munpathe/ munpulla"
"Housing","house shifting","veed maattam"
"Housing","annual waste","vaarshika maalinyam"
"Housing","original","yathaarthamaaya"
"Housing","packers","pothiyunnavar"
"Housing","expected time","pratheekshicha samayam"
"Housing","weather","kaalavastha"
"Housing","cyclone","kodunkaatt"
"Housing","strong winds","shakthamaaya kaatt"
"Housing","cutting trees","vrikshanagl murikkal"
"Housing","forcast","pravachanam"
"Housing","short notice","hriswa ariyipp"
"Housing","paint buckets","chaaya thottikal"
"Housing","divorce","vivaaha mochanam"
"Housing","Live seperately","vere thaamasikkuka"
"Housing","council rates","nagarasabha nirakk"
"Housing","bond refund","amaanath thirike nalkuka"
"Housing","real estate agent","bhoomi vikraya prathinidhi"
"Housing","body corporate","koottu udamasthitham"
"Housing","settlement date","kaara kootal theeyathi"
"Housing","inspection report","parishodhana vivara pathram"
"Housing","utilities","soukaryangal"
"Housing","maintenance","paalana poshana"
"Housing","eviction notice","oozhiyakkuka ariyippu"
"Housing","suburb","nagara padham"
"Housing","council approval","nagarasabha anumathi"
"Housing","building permit","nirmana anumathi"
"Housing","renovation","parishkaranam"
"Housing","electricity bill","vidhyuth kaadanu"
"Housing","water bill","vella kaadanu"
"Consumer Affairs","Department","shaakha"
"Consumer Affairs","consumer law","upabokthru niyamam"
"Consumer Affairs","declaration form","prathinjaa pathram"
"Consumer Affairs","government","sarkkaar/ baranakoodam"
"Consumer Affairs","legal system","niyama vyavastha"
"Consumer Affairs","punishment","shiksha"
"Consumer Affairs","penalty","pizha"
"Consumer Affairs","charges","aaropanam"
"Consumer Affairs","arrest","bandhikkuka"
"Consumer Affairs","prohibited","niroodikkuka"
"Consumer Affairs","stolen","moshticha"
"Consumer Affairs","court","kodathi"
